family_id,choice_0,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,n_people
0,68,4,26,3,45,80,61,89,6,31,6
1,66,17,82,4,29,52,46,77,75,60,2
2,89,23,5,27,1,24,53,11,9,17,2
3,66,80,35,59,4,96,87,94,1,33,3
4,29,52,24,33,27,2,45,20,12,21,3
5,46,92,73,55,1,94,50,81,66,8,3
6,96,74,25,12,73,5,59,88,1,18,3
7,1,88,4,39,46,3,18,66,74,51,4
8,47,31,75,92,2,25,51,17,9,95,4
9,45,40,53,87,12,25,33,17,47,52,3
10,61,60,57,54,18,3,1,25,26,33,7
11,10,32,92,31,73,20,85,100,72,94,4
12,82,1,14,25,19,68,20,42,18,22,4
13,27,90,66,15,40,7,95,88,1,80,4
14,88,1,19,59,53,58,50,31,25,61,3
15,62,54,31,1,36,83,60,38,57,29,3
16,24,80,12,98,29,97,1,76,2,46,5
17,58,25,67,65,40,91,46,10,41,54,4
18,74,1,24,46,3,80,73,7,53,32,6
19,27,40,20,26,64,47,18,23,87,67,4
20,12,40,3,24,27,47,11,97,80,71,5
21,75,61,2,1,77,30,89,28,88,60,6
22,94,95,57,82,59,89,53,14,68,17,3
23,68,29,81,52,6,38,46,1,60,50,5
24,4,18,39,61,37,20,87,47,73,32,4
25,28,14,95,51,24,37,26,10,67,25,5
26,25,95,66,1,11,42,45,6,32,43,5
27,33,59,25,15,5,31,3,52,18,67,2
28,31,24,13,87,53,68,95,96,33,74,4
29,3,39,54,12,1,10,45,22,94,61,4
30,47,18,87,71,52,3,1,48,8,9,4
31,40,32,31,1,53,68,5,74,28,11,5
32,31,58,1,27,24,10,40,8,96,82,4
33,80,22,30,4,28,35,5,98,56,89,4
34,18,14,1,73,45,26,61,68,75,47,5
35,42,24,40,47,1,53,95,68,66,89,4
36,24,3,44,80,11,45,67,1,95,31,8
37,18,40,24,1,95,58,35,82,6,25,3
38,87,59,11,18,31,48,40,89,1,23,5
39,62,52,95,46,24,18,94,5,6,10,6
40,80,15,17,14,73,67,4,26,18,39,2
41,58,57,4,1,7,11,100,51,37,88,4
42,96,1,17,24,59,47,82,79,54,6,4
43,61,58,45,28,26,50,67,21,59,82,5
44,6,40,24,75,31,58,68,18,56,11,3
45,12,38,25,80,15,37,75,1,16,63,4
46,88,27,67,61,7,39,82,50,91,16,3
47,29,46,32,81,54,87,67,12,3,45,2
48,17,14,50,88,59,98,1,100,90,39,4
49,45,59,89,14,1,12,100,88,66,90,5
50,12,31,32,47,1,51,53,88,24,59,7
51,3,67,89,82,14,66,19,4,12,11,2
52,47,17,24,74,88,51,1,32,10,46,3
53,82,60,5,31,27,75,23,47,98,55,4
54,67,13,47,37,52,88,1,15,11,4,2
55,17,1,25,40,90,32,29,33,9,26,3
56,65,41,53,2,26,61,24,81,83,13,5
57,95,1,68,7,67,59,6,5,10,52,2
58,25,68,46,13,60,18,32,73,39,12,3
59,25,38,24,1,61,51,53,14,36,12,4
60,82,1,88,29,86,4,52,56,95,5,8
61,94,47,7,19,2,68,99,73,53,46,3
62,38,52,89,60,11,47,26,96,13,32,6
63,3,1,39,88,32,31,21,6,56,59,3
64,6,53,33,66,31,17,14,59,37,40,4
65,40,27,56,24,33,8,67,12,10,15,4
66,37,31,94,47,5,88,4,85,38,25,4
67,11,38,24,59,10,65,12,17,75,58,5
68,39,96,22,17,19,81,31,1,74,7,6
69,1,49,51,32,90,17,83,46,19,95,5
70,25,38,99,68,5,19,80,17,1,32,5
71,54,34,1,91,74,46,61,81,53,43,4
72,1,35,38,93,89,68,54,12,69,29,4
73,3,10,81,13,95,52,78,69,25,61,3
74,17,82,53,1,7,27,45,52,18,16,3
75,80,33,34,81,73,18,68,10,5,45,2
76,70,94,1,95,96,26,65,21,88,46,4
77,98,39,81,47,60,19,74,95,10,11,6
78,89,21,38,3,55,47,10,1,54,25,4
79,87,94,39,45,10,84,100,78,18,60,3
80,28,22,74,54,5,98,80,32,97,4,4
81,3,88,18,38,45,10,1,74,54,49,8
82,30,54,24,33,58,31,93,96,88,1,6
83,1,30,7,88,10,66,31,11,28,62,8
84,68,47,33,99,27,19,95,6,10,26,5
85,17,89,40,66,31,75,14,38,80,1,6
86,10,32,24,94,15,88,1,66,80,34,8
87,43,1,25,35,11,95,77,83,81,38,2
88,1,66,35,31,58,11,89,26,88,95,6
89,88,25,8,18,30,59,57,20,89,41,4
90,38,68,1,25,59,82,46,78,26,33,7
91,24,74,95,39,55,92,23,45,32,40,4
92,9,26,50,40,60,18,87,45,1,2,2
93,17,24,14,34,4,37,84,52,81,26,2
94,61,68,60,39,33,25,56,18,45,4,5
95,44,8,35,67,73,66,42,12,40,59,4
96,12,20,31,57,95,24,91,26,54,1,4
97,4,26,30,6,53,60,52,11,32,86,2
98,33,12,80,9,18,23,46,26,5,42,4
99,1,25,11,58,65,9,22,67,24,73,6
100,7,1,5,60,74,47,44,54,59,51,7
101,12,28,1,80,46,7,17,18,53,45,4
102,52,38,39,53,49,6,96,1,25,91,2
103,1,70,27,82,60,67,40,59,89,47,5
104,88,7,9,10,76,23,1,3,84,39,5
105,38,72,50,28,3,6,4,1,74,73,3
106,40,3,55,73,67,35,13,26,12,1,4
107,60,11,5,3,22,1,40,82,100,48,2
108,2,54,17,34,3,40,1,95,29,49,4
109,49,96,31,21,8,95,52,26,39,40,4
110,47,1,96,25,53,54,45,82,19,97,4
111,54,18,73,38,12,28,45,33,81,31,7
112,25,47,24,66,73,1,51,27,19,81,7
113,45,59,74,37,17,7,10,64,40,4,8
114,47,30,39,17,90,26,73,46,54,1,4
115,94,1,75,66,68,28,89,70,15,61,4
116,68,33,5,53,82,1,59,17,100,95,4
117,24,82,86,1,19,27,40,99,6,12,4
118,29,75,1,11,17,52,4,47,45,39,5
119,51,35,1,52,54,60,67,31,34,29,2
120,75,8,1,45,38,21,42,53,68,80,5
121,83,56,31,66,18,11,19,92,3,60,3
122,22,60,94,25,13,32,45,52,23,33,4
123,98,1,31,7,24,18,33,68,10,35,2
124,52,1,4,26,24,42,5,28,10,18,5
125,26,47,1,28,17,10,68,4,75,25,8
126,12,31,76,87,90,45,54,93,53,39,4
127,31,28,44,18,17,53,39,4,40,1,8
128,4,34,14,87,10,73,59,1,29,31,5
129,1,96,13,54,68,99,94,18,48,60,4
130,61,13,18,1,17,20,12,87,33,38,3
131,5,2,7,1,94,33,16,96,88,27,4
132,40,89,74,88,52,32,4,1,21,90,3
133,46,59,80,1,10,53,15,16,17,36,2
134,1,51,32,98,74,5,44,94,81,20,5
135,60,73,39,3,1,78,91,80,18,66,6
136,1,81,7,52,89,17,24,12,99,92,4
137,53,49,46,20,12,86,13,35,87,74,4
138,88,95,12,54,31,96,28,68,60,19,2
139,45,43,32,73,1,33,8,74,12,47,5
140,1,61,67,16,60,55,33,6,17,26,2
141,96,33,39,4,68,9,3,6,2,58,2
142,38,42,4,20,79,5,47,1,31,24,2
143,57,5,1,68,26,81,11,32,19,46,3
144,28,45,54,17,75,24,1,49,82,27,4
145,1,12,26,32,81,13,80,61,45,3,7
146,68,11,26,43,18,1,33,38,40,49,4
147,26,9,100,27,14,39,1,3,11,71,4
148,19,18,71,3,1,46,80,38,10,82,3
149,10,8,27,58,60,21,96,99,18,42,4
150,87,7,46,68,3,32,30,33,17,18,2
151,44,32,42,8,4,54,60,3,81,45,3
152,52,23,5,44,46,3,6,31,35,64,6
153,1,32,11,45,60,19,38,74,79,3,3
154,29,54,1,40,47,68,8,39,87,2,3
155,12,1,11,60,49,61,4,20,3,81,3
156,46,63,25,5,34,40,75,3,29,74,6
157,38,46,19,14,39,85,32,75,67,52,6
158,10,1,82,61,24,13,81,96,62,56,3
159,81,28,43,38,5,23,93,17,18,12,7
160,24,57,27,50,85,52,61,25,1,10,2
161,68,52,44,56,25,99,65,95,42,11,3
162,33,39,18,81,21,26,38,74,52,95,7
163,33,19,1,99,46,17,92,11,30,32,3
164,1,74,4,8,17,29,18,45,14,88,4
165,14,43,5,28,55,61,37,59,1,47,3
166,16,54,1,47,66,67,53,7,81,8,6
167,22,46,26,86,20,17,45,39,1,33,2
168,67,88,45,13,52,71,44,28,16,38,3
169,21,27,19,80,72,13,67,84,7,61,2
170,19,24,71,47,32,61,17,12,2,82,4
171,89,24,19,61,68,6,1,95,2,5,3
172,53,1,4,12,61,57,73,85,34,58,6
173,1,44,7,70,50,86,54,23,5,17,4
174,56,42,43,25,15,35,50,18,66,33,3
175,54,59,28,82,62,67,91,13,94,18,4
176,25,33,12,1,4,96,99,53,57,17,2
177,34,53,94,29,3,73,1,74,98,12,5
178,45,28,24,76,32,4,60,25,31,73,4
179,12,89,91,61,53,32,57,59,40,39,4
180,18,25,22,15,51,88,59,65,1,38,6
181,1,20,22,87,60,24,82,50,43,28,3
182,75,4,73,24,33,31,13,52,1,68,5
183,33,45,25,12,1,48,17,24,15,20,5
184,62,3,47,91,5,63,9,68,1,31,5
185,76,40,26,17,51,96,3,15,12,39,6
186,54,46,60,33,31,61,1,73,75,8,3
187,1,30,20,47,96,53,16,87,4,17,4
188,32,94,39,46,21,52,27,18,1,17,5
189,31,73,74,19,81,24,54,52,18,95,6
190,17,20,67,44,13,89,1,95,15,38,6
191,57,60,81,38,18,47,17,6,55,82,3
192,14,82,1,10,73,26,3,46,81,60,4
193,8,5,15,1,52,16,53,89,26,3,2
194,92,54,1,5,60,89,81,80,17,46,5
195,53,39,32,1,88,5,10,35,75,11,5
196,75,26,49,54,28,18,45,1,14,80,3
197,94,52,12,1,45,18,82,25,26,60,4
198,1,74,46,26,95,11,61,84,47,44,4
199,5,47,42,91,68,65,17,84,4,19,2
200,12,10,48,19,87,17,95,81,4,1,5
201,11,1,52,51,26,28,35,94,89,15,5
202,54,25,87,3,1,17,19,69,55,32,7
203,92,80,60,24,45,12,88,10,91,32,8
204,7,31,1,94,3,60,9,12,28,92,2
205,2,25,18,26,66,61,53,12,81,23,5
206,9,40,53,51,78,54,61,89,46,17,5
207,6,15,57,47,92,73,79,46,3,4,3
208,51,34,5,19,32,61,49,59,1,89,5
209,23,1,14,25,82,52,26,58,28,42,5
210,49,14,39,46,61,36,8,66,80,29,3
211,82,74,95,12,31,18,39,94,50,10,2
212,48,74,4,89,61,9,81,11,39,82,3
213,26,1,28,62,68,12,95,23,61,89,4
214,53,11,5,80,54,38,50,18,31,23,2
215,60,68,61,45,52,57,36,2,1,46,5
216,11,40,55,46,17,75,24,89,12,20,5
